iter	Passed	Remaining
406	60498	88146
407	60619	87958
408	60753	87788
409	60884	87614
410	61026	87455
411	61169	87300
412	61306	87134
413	61441	86967
414	61574	86797
415	61711	86632
416	61873	86504
417	62012	86342
418	62143	86170
419	62277	86002
420	62404	85824
421	62559	85685
422	62701	85528
423	62875	85415
424	63028	85273
425	63210	85171
426	63374	85043
427	63535	84912
428	63717	84808
429	63872	84668
430	64083	84602
431	64266	84498
432	64450	84395
433	64609	84260
434	64781	84141
435	64939	84004
436	65111	83884
437	65269	83747
438	65453	83643
439	65601	83492
440	65756	83350
441	65928	83230
442	66120	83135
443	66327	83058
444	66518	82960
445	66692	82842
446	66885	82746
447	67077	82649
448	67261	82541
449	67432	82417
450	67597	82286
451	67745	82133
452	67899	81988
453	68043	81832
454	68197	81687
455	68341	81529
456	68478	81364
457	68618	81204
458	68761	81045
459	68903	80886
460	69041	80723
461	69182	80563
462	69319	80399
463	69464	80243
464	69589	80065
465	69727	79902
466	69873	79748
467	70019	79595
468	70154	79428
469	70289	79262
470	70418	79089
471	70579	78953
472	70754	78831
473	70893	78670
474	71043	78521
475	71175	78352
476	71328	78207
477	71486	78066
478	71627	77907
479	71802	77786
480	71956	77641
481	72107	77492
482	72268	77355
483	72430	77219
484	72571	77060
485	72712	76901
486	72854	76744
487	72978	76567
488	73143	76434
489	73291	76283
490	73441	76133
491	73592	75985
492	73723	75817
493	73866	75661
494	74014	75510
495	74172	75369
496	74381	75279
497	74515	75113
498	74676	74975
499	74850	74850
500	75005	74705
501	75169	74570
502	75314	74415
503	75460	74263
504	75604	74107
505	75747	73950
506	75913	73816
507	76052	73656
508	76177	73483
509	76333	73339
510	76478	73185
511	76625	73033
512	76772	72881
513	76913	72723
514	77052	72564
515	77174	72388
516	77322	72237
517	77461	72077
518	77609	71926
519	77746	71765
520	77880	71602
521	78018	71442
522	78172	71297
523	78323	71148
524	78486	71011
525	78614	70843
526	78743	70675
527	78896	70528
528	79019	70356
529	79148	70188
530	79284	70027
531	79430	69874
532	79567	69714
533	79707	69557
534	79838	69391
535	79970	69228
536	80093	69056
537	80238	68903
538	80392	68758
539	80565	68629
540	80755	68514
541	80888	68351
542	81016	68185
543	81158	68030
544	81317	67889
545	81468	67741
546	81591	67570
547	81742	67422
548	81899	67279
549	82045	67128
550	82199	66982
551	82360	66843
552	82501	66687
553	82624	66517
554	82769	66364
555	82924	66220
556	83073	66071
557	83212	65913
558	83334	65743
559	83473	65586
560	83620	65435
561	83813	65320
562	83965	65174
563	84114	65024
564	84278	64886
565	84421	64733
566	84550	64568
567	84688	64410
568	84836	64261
569	84970	64100
570	85104	63940
571	85273	63806
572	85421	63656
573	85571	63507
574	85708	63349
575	85844	63190
576	85999	63046
577	86143	62894
578	86295	62747
579	86422	62581
580	86562	62426
581	86713	62278
582	86857	62125
583	86993	61968
584	87156	61828
585	87310	61683
586	87447	61526
587	87582	61367
588	87711	61204
589	87860	61055
590	88006	60904
591	88145	60748
592	88287	60595
593	88428	60440
594	88560	60280
595	88707	60130
596	88836	59968
597	88981	59817
598	89130	59668
599	89299	59532
600	89450	59385
601	89598	59236
602	89735	59079
603	89888	58933
604	90032	58781
605	90200	58645
606	90354	58499
607	90500	58349
608	90645	58197
609	90777	58038
610	90926	57889
611	91058	57730
612	91200	57576
613	91358	57433
614	91496	57278
615	91637	57124
616	91804	56987
617	91957	56840
618	92119	56700
619	92283	56560
620	92436	56414
621	92598	56273
622	92758	56131
623	92948	56007
624	93153	55891
625	93292	55737
626	93434	55583
627	93563	55422
628	93685	55257
629	93826	55104
630	93988	54962
631	94136	54813
632	94287	54665
633	94425	54510
634	94563	54355
635	94701	54200
636	94853	54053
637	94975	53888
638	95095	53723
639	95250	53578
640	95402	53431
641	95559	53287
642	95708	53138
643	95839	52979
644	95967	52819
645	96108	52666
646	96238	52507
647	96379	52354
648	96512	52197
649	96658	52047
650	96802	51895
651	96962	51752
652	97110	51604
653	97257	51454
654	97401	51303
655	97555	51157
656	97676	50994
657	97824	50844
658	97968	50694
659	98148	50561
660	98317	50422
661	98465	50273
662	98651	50144
663	98829	50009
664	99000	49872
665	99137	49717
666	99282	49566
667	99421	49413
668	99578	49268
669	99729	49120
670	99884	48974
671	100040	48829
672	100198	48684
673	100348	48536
674	100489	48384
675	100680	48255
676	100849	48115
677	100978	47957
678	101128	47809
679	101278	47660
680	101436	47515
681	101585	47366
682	101738	47219
683	101869	47062
684	102001	46905
685	102134	46749
686	102295	46606
687	102458	46463
688	102606	46314
689	102767	46170
690	102898	46013
691	103039	45861
692	103171	45705
693	103312	45552
694	103445	45396
695	103583	45243
696	103719	45088
697	103853	44933
698	103977	44774
699	104120	44622
700	104257	44469
701	104401	44318
702	104528	44160
703	104680	44013
704	104821	43861
705	104961	43709
706	105098	43555
707	105243	43405
708	105403	43261
709	105549	43111
710	105696	42962
711	105827	42806
712	105969	42655
713	106121	42508
714	106263	42356
715	106381	42196
716	106506	42037
717	106633	41881
718	106764	41725
719	106914	41577
720	107042	41421
721	107209	41280
722	107365	41134
723	107502	40981
724	107653	40834
725	107784	40679
726	107908	40521
727	108044	40368
728	108183	40216
729	108320	40063
730	108463	39913
731	108608	39763
732	108728	39605
733	108869	39453
734	109027	39309
735	109156	39154
736	109296	39002
737	109433	38850
738	109564	38695
739	109706	38545
740	109872	38403
741	110016	38253
742	110152	38101
743	110282	37946
744	110431	37798
745	110572	37647
746	110704	37494
747	110845	37343
748	110989	37194
749	111130	37043
750	111258	36888
751	111395	36736
752	111527	36583
753	111674	36434
754	111823	36287
755	111977	36140
756	112115	35989
757	112254	35838
758	112394	35687
759	112529	35535
760	112682	35389
761	112801	35231
762	112934	35079
763	113063	34925
764	113213	34778
765	113337	34622
766	113472	34470
767	113611	34320
768	113780	34178
769	113934	34032
770	114079	33883
771	114220	33733
772	114374	33587
773	114525	33440
774	114659	33288
775	114791	33135
776	114933	32986
777	115073	32835
778	115214	32685
779	115368	32539
780	115522	32393
781	115672	32246
782	115795	32091
783	115955	31946
784	116119	31803
785	116246	31649
786	116400	31503
787	116546	31355
788	116699	31208
789	116818	31052
790	116951	30901
791	117090	30751
792	117239	30603
793	117402	30459
794	117532	30307
795	117681	30159
796	117836	30013
797	117967	29861
798	118092	29707
799	118225	29556
800	118361	29405
801	118509	29258
802	118662	29111
803	118784	28957
804	118915	28805
805	119047	28654
806	119215	28511
807	119346	28359
808	119479	28208
809	119636	28062
810	119773	27912
811	119919	27764
812	120055	27614
813	120201	27466
814	120334	27315
815	120484	27168
816	120645	27023
817	120774	26871
818	120930	26725
819	121076	26577
820	121237	26432
821	121371	26282
822	121507	26132
823	121647	25982
824	121819	25840
825	121963	25692
826	122081	25538
827	122224	25389
828	122382	25244
829	122509	25092
830	122650	24943
831	122783	24792
832	122935	24646
833	123090	24499
834	123231	24351
835	123381	24204
836	123531	24056
837	123676	23908
838	123810	23758
839	123968	23612
840	124114	23465
841	124244	23314
842	124371	23162
843	124492	23010
844	124641	22863
845	124786	22715
846	124902	22562
847	125045	22413
848	125162	22260
849	125302	22112
850	125440	21963
851	125580	21814
852	125717	21665
853	125853	21515
854	125979	21364
855	126115	21215
856	126269	21069
857	126397	20918
858	126538	20770
859	126687	20623
860	126847	20478
861	126991	20330
862	127131	20181
863	127254	20030
864	127377	19879
865	127523	19732
866	127660	19583
867	127780	19432
868	127922	19284
869	128067	19136
870	128204	18987
871	128349	18840
872	128484	18691
873	128624	18543
874	128778	18396
875	128932	18250
876	129081	18103
877	129213	17954
878	129337	17804
879	129463	17654
880	129597	17505
881	129736	17357
882	129855	17206
883	130007	17059
884	130177	16915
885	130321	16768
886	130440	16617
887	130580	16469
888	130710	16320
889	130838	16171
890	130977	16023
891	131131	15876
892	131285	15730
893	131415	15581
894	131557	15434
895	131686	15285
896	131836	15138
897	131982	14991
898	132116	14842
899	132254	14694
900	132381	14545
901	132516	14397
902	132666	14251
903	132805	14103
904	132949	13956
905	133070	13806
906	133202	13658
907	133356	13511
908	133495	13364
909	133652	13218
910	133807	13072
911	133934	12923
912	134061	12774
913	134205	12627
914	134361	12481
915	134529	12336
916	134668	12189
917	134823	12043
918	134959	11895
919	135099	11747
920	135232	11599
921	135367	11451
922	135497	11303
923	135631	11155
924	135789	11009
925	135917	10861
926	136058	10714
927	136191	10566
928	136344	10420
929	136481	10272
930	136629	10126
931	136769	9978
932	136907	9831
933	137034	9683
934	137163	9535
935	137314	9388
936	137454	9241
937	137586	9094
938	137727	8947
939	137871	8800
940	138020	8653
941	138152	8506
942	138292	8359
943	138449	8213
944	138583	8065
945	138739	7919
946	138871	7772
947	139023	7625
948	139158	7478
949	139298	7331
950	139441	7184
951	139580	7037
952	139704	6889
953	139865	6744
954	139997	6596
955	140145	6450
956	140284	6303
957	140440	6157
958	140592	6010
959	140728	5863
960	140867	5716
961	141037	5571
962	141197	5425
963	141333	5277
964	141456	5130
965	141605	4984
966	141739	4837
967	141898	4690
968	142026	4543
969	142172	4397
970	142295	4249
971	142441	4103
972	142605	3957
973	142751	3810
974	142897	3664
975	143047	3517
976	143212	3371
977	143344	3224
978	143488	3077
979	143613	2930
980	143742	2783
981	143868	2637
982	143997	2490
983	144143	2343
984	144261	2196
985	144422	2050
986	144552	1903
987	144694	1757
988	144825	1610
989	144964	1464
990	145102	1317
991	145228	1171
992	145367	1024
993	145542	878
994	145663	731
995	145812	585
996	145935	439
997	146065	292
998	146215	146
999	146357	0
